"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"중구","계","합계",101328,13322,5987,6545,790,10514,6519,3359,636,34898,29721,4313,864,13364,10853,788,208,428,1087,22734,18392,1732,197,960,1453,3059,2129,397,426,107,567,316,107,133,11,2870
"동구","계","합계",66093,11412,6875,3422,1115,8736,6220,1841,675,24180,21324,2217,639,8827,6954,683,139,340,711,9434,7049,1123,58,573,631,829,543,124,102,60,151,76,43,28,4,2524
"남구","계","합계",376858,47504,26334,18048,3122,43806,30767,10487,2552,147619,131525,12711,3383,48250,37449,4417,428,2244,3712,70692,47181,14611,416,4242,4242,6887,4673,1364,614,236,1514,912,377,219,6,10586
"연수구","계","합계",291450,31823,10275,20322,1226,24052,11493,11513,1046,90051,76043,12350,1658,38815,30667,3310,518,1716,2604,85375,60860,16607,684,4000,3224,12057,9398,1257,1005,397,3199,2128,539,466,66,6078
"남동구","계","합계",480300,58862,25923,30288,2651,47836,28889,16420,2527,177144,155227,18047,3870,67035,52800,5169,857,3045,5164,103362,76303,14143,1157,5974,5785,12211,9265,1473,1092,381,1991,1137,432,382,40,11859
"부평구","계","합계",506789,61338,30179,27152,4007,53548,34419,16013,3116,182904,159060,18929,4915,74229,56698,6691,857,3649,6334,108137,79704,14280,914,6926,6313,11447,7995,1933,1172,347,1816,974,424,359,59,13370
"계양구","계","합계",306108,34905,16126,17016,1763,32309,19577,10808,1924,116603,101637,12458,2508,45839,34370,4583,618,2438,3830,62566,44407,9518,402,4518,3721,5880,4163,955,571,191,886,429,248,177,32,7120
"서구","계","합계",450881,56358,21043,32814,2501,46464,26832,17241,2391,165961,144037,18592,3332,63894,49331,5093,1114,3116,5240,95277,72354,10857,752,5798,5516,10488,7476,1402,1212,398,1719,933,345,433,8,10720
"강화군","계","합계",59470,13352,9912,2385,1055,9048,7031,1436,581,19516,17001,2098,417,4698,3531,302,45,343,477,7881,6016,743,38,465,619,1339,1088,134,106,11,201,125,16,58,2,3435
"옹진군","계","합계",17631,3280,2309,645,326,2398,1900,374,124,6142,5625,360,157,1860,1421,60,55,156,168,2571,2056,143,41,175,156,412,309,44,40,19,41,18,18,5,-,927
